Date,User,Tweet,Polarity,Sentiment
2022-05-22 09:21:15+00:00,OrogeSarkaC,nyuwunsewu pak intinya harga minyak goreng tetep tinggi tokh amp minyak goreng yg dahulu langka shg banyak ibu2 ngantri kini melimpah ruah nggih,0.0,Neutral
2022-05-22 09:07:00+00:00,holopiscom,residen Jokowi curhat mengenai keluh kesahnya serta kesulitannya saat menangani persoalan minyak goreng di dalam negeri MinyakGoreng MafiaMigor,0.0,Neutral
2022-05-22 09:04:33+00:00,Revenge00810455,Pemerintah resmi merilis Program MigorRakyat atau Minyak Goreng Rakyat pada Selasa 17 5 Program ini menekankan pada transaksi eceran langsung kepada penerima manfaat yaitu kelompok masyarakat berpendapatan rendah,0.0,Neutral
2022-05-22 08:37:03+00:00,Jeeepeeeeee,Silalahi Itulah nalar logika seorang pemimpin bangsa yg sangat mengkhawatirkan jika gagal mengatur harga minyak goreng amp bbm lalu berdalih membandingkan dgn negara lain Perlu ada nya PERUBAHAN BOLEH BBM amp MINYAK GORENG SAMAKAN SAMA SINGAPORE TAPI GAJI MINIMUM UPAH SAMAKAN JUGA,0.0,Neutral
2022-05-22 08:24:30+00:00,LppanRi,Jika ekspor CPO penyebab kelangkaan minyak goreng di Indonesia maka Pemerintah harus stop kembali ekspor nya tetapi jika pemangku kepentingan Penguasa di Negeri ini mampu menciptakan solusi silahkan buka kembali ekspor CPO nya,0.0,Neutral
2022-05-22 07:56:12+00:00,justice191270,dumdum Urusin aja sembako utk Harga standar jgn muluk ngomong yg lain Minyak goreng yg secuil aja jalan ditempat bukan begitu Pade jokowi,0.0,Neutral
2022-05-22 07:47:55+00:00,missdiah2,Hemat gak beli kuota buat ngetwit Hemat buat bayar PPN 11 Hemat buat beli minyak goreng dan gorengan Hemat buat beli esemka NGOK,0.0,Neutral
2022-05-22 07:42:57+00:00,Bima89009178,VADUKA Lah koruptor paling banyak kan terjadi di era si owi Harun masiku apa kabar Mafia minyak goreng orang dekat dia lagi Katanya koruptor ketar ketir di tangan Jokowi tapi yang tertangkap orang2 dekat dia aja dari parta nya paling banyak,0.0,Neutral
2022-05-22 07:17:07+00:00,SilvesterSibrow,nuraeni123 Yg ditanya minyak goreng curah Bu Bukan kemasan,0.0,Neutral
2022-05-22 06:43:25+00:00,lightmotive,Meski demikian Presiden Jokowi optimistis dalam dua pekan ke depan harga minyak goreng di pasaran sudah sesuai dengan yang diharapkan oleh pemerintah di paragraf selanjutnya katanya kuncinya sudah ketemu tp vibenya mirip2 big data krn ga diungkapkan kuncinya apa,0.0,Neutral
2022-05-22 06:41:27+00:00,kaizokuo666,Ke Pasar Sumber Arta Bekasi pak biar minyak goreng harganya turun Kalo bapak ga kesini harga masih mahal pak,0.0,Neutral
2022-05-22 06:04:29+00:00,holopiscom,Presiden Jokowi curhat mengenai keluh kesahnya serta kesulitannya saat menangani persoalan minyak goreng di dalam negeri Selengkapnya di Jokowi MinyakGoreng,0.0,Neutral
2022-05-22 05:48:31+00:00,ferizandra,Silalahi Harga minyak goreng amp bensin dibandingkan dgn negara maju giliran ngomongin PDB bandingin dgn negara yg lebih miskin,0.0,Neutral
2022-05-22 05:28:23+00:00,Babamovic,Silalahi Kita harus bersyukur minyak goreng langka berbulan bulan tanpa ada tindakan apa2 dari Presiden kita bersyukur migor ngga langka lg tp harganya menjulang tinggi kita bersyukur janji presiden semuanya tdk tercapai Indonesia bersyukur Pak Jokowi jd Presiden Alhamdulillah,0.0,Neutral
2022-05-22 04:24:35+00:00,GepakHumas,Kiranya Bpk Presiden juga mengendalikan harga harga komiditi lain yang turut naik sebagai dampak dari langkanya dan harga yang meroket minyak goreng dari buah sawit,0.0,Neutral
2022-05-22 04:20:17+00:00,GepakHumas,dipalangka raya Kalteng saat ini 22 Mei 2022 HET minyak goreng dari buah sawit masih di atas Rp 14 000,0.0,Neutral
2022-05-22 03:57:26+00:00,IndonesiaRahayu,Kunjungi Pasar Muntilan Presiden Cek Langsung Harga Minyak Goreng pada Sabtu 21 Mei 2022 terasa sangat berbeda Kedatangan Presiden bersama Ibu makin meramaikan suasana di pasar tsb Presiden dan Ibu Iriana juga membagikan bantuan langsung kepada para penerima manfaat,0.0,Neutral
2022-05-22 03:43:32+00:00,Madyo2018,Yg dibilang jokowi minyak goreng curah,0.0,Neutral
2022-05-22 03:24:11+00:00,makejoy22,Presiden optimistis dalam dua pekan ke depan harga minyak goreng di pasaran sudah sesuai dengan yang diharapkan oleh pemerintah,0.0,Neutral
2022-05-22 03:23:06+00:00,cn_rlt,Presiden menjelaskan sejak Januari 2022 telah terjadi kenaikan harga minyak goreng yang disebabkan adanya kenaikan harga internasional,0.0,Neutral
2022-05-22 03:22:17+00:00,bacotradit,Presiden mengatakan sejumlah kebijakan telah diputuskan untuk menjaga kestabilan harga minyak goreng di pasaran Namun ia mengakui persoalan minyak goreng tidaklah mudah,0.0,Neutral
2022-05-22 03:21:45+00:00,MynaEve,Setibanya di pasar Presiden bersama Ibu Iriana langsung mengecek harga minyak goreng curah di Pasar Muntilan Ini berapa harganya Bu tanya Presiden kepada Titin Suryani pemilik kios yang berjualan sembako Kalau 1 liter Rp14 500 1 kilo Rp15 000 jawab Titin,0.0,Neutral
2022-05-22 03:21:36+00:00,vrishaba05,Presiden menegaskan pemerintah terus berikhtiar agar tidak terjadi lonjakan kenaikan harga di kedua sektor tersebut Jokowi memberikan contoh kebijakan yang diambil pemerintah agar tidak terjadi kenaikan harga minyak goreng,0.0,Neutral
2022-05-22 03:20:24+00:00,MynaEve,Kunjungi Pasar Muntilan Presiden Cek Langsung Harga Minyak Goreng Suasana pagi hari menjelang siang di Pasar Muntilan Kabupaten Magelang pada Sabtu 21 Mei 2022 Presiden Joko Widodo bersama Ibu Iriana meramaikan suasana di pasar tersebut,0.0,Neutral
2022-05-22 03:16:34+00:00,alwie94361869,Pak Presiden hati2 kalau pilih Menteri sampai kebobolan masalah minyak goreng digoreng jadi isu politik untung permainan catur Pak De hebat,0.0,Neutral
2022-05-22 03:03:00+00:00,AntiCukong,Ngaku saja gak berani melawan cukong cukong Cina dan oligarki mafia minyak goreng,0.0,Neutral
2022-05-22 02:08:49+00:00,rumahkeciltj,Export minyak goreng sdh dibuka bisa ga pembayaran hrs dgn rupiah pak kayak Rusia gitu jual gas hrs byar pakai rubel,0.0,Neutral
2022-05-22 02:03:56+00:00,Byy_wislert,sdng sidak di pasar Yg komen masih mahal pak 20rb perliter Tp gak sadar beli rokok 20 25 rb sehari habis blm kopi gorengan Apa kalian minum sdh ganti pake minyak goreng Hadeeuuhh warga 62,0.0,Neutral
2022-05-22 01:41:46+00:00,Tuman48215069,5uny1 Ibu ibu ini gk pernah antri minyak goreng,0.0,Neutral
